icd_9,icd_10
E8669,T43605A
2841,D619
3108,F079
7990,R99
V721,Z000
7473,Q254
6000,N400
8504,S060X9A
E9310,T370X
7863,R069
V174,Z1509
E8702,Y632
E9384,T413X5A
E9357,T398X5A
E9317,T375X
V51,Z421
2554,E249
E8504,T430X5A
E9444,T45615A
7955,R978
E9304,T364X5
E9343,T460X5
8502,S060X1A
E9324,T509X5
E8529,T393X1A
E9338,T509X5
5234,K053
E9351,T403X
E8718,Y658
3488,G939
E8542,T430X3A
E856,T431X2A
E911,W44XXXA
E9292,V872
E9132,W22XXA
V0261,Z201
E9410,T451X5A
6221,N801
E9348,T458X5A
E9051,W57XXXA
E9430,T430X3A
6009,N403
E8716,Y658
6213,N819
2398,D481
488,J09X1
4880,J100
7800,R401
7889,R3989
E995,Y36440A
V127,Z0189
V251,Z30430
